Title,URL,Description,Content
Trump's former chief of staff says he's a fascist. Harris says it reveals who Trump 'really is',https://www.cbc.ca/news/world/trump-kelly-fascist-1.7361016,Kamala Harris said Wednesday that recently reported comments Donald Trump made to his longest-serving chief of staff offer a window into who the former president “really is” and the kind of commander-in-chief he would be.,"Kamala Harris said Wednesday that recently reported comments Donald Trump made to his longest-serving chief of staff offer a window into who the former president ""really is"" and the kind of commander… [+6196 chars]"
Ford tells LCBO to find Ontario paper bag supplier weeks after $11M deal inked with Quebec firm,https://www.cbc.ca/news/canada/toronto/lcbo-paper-bag-supply-contract-ford-letter-1.7360654,"Premier Doug Ford has told the LCBO to find an Ontario-based supplier for its soon-to-be-reintroduced paper bags, only weeks after the Crown corporation confirmed a nearly $11-million contract with a Quebec producer.","Premier Doug Ford has told the LCBO to find an Ontario-based supplier for its soon-to-be-reintroduced paper bags, only weeks after the Crown corporation confirmed a nearly $11-million contract with a… [+2862 chars]"
Occupational Health and Safety investigating after Edmonton worker fatally struck by equipment,https://www.cbc.ca/news/canada/edmonton/workplace-death-edmonton-ohs-1.7360663,A man is dead after being struck by a piece of equipment Monday at a business in northwest Edmonton.,"A man is dead after being struck by a piece of equipment on the job Monday in northwest Edmonton.
Occupational Health and Safety officials are investigating the death of the worker at Gir Del Hydrau… [+784 chars]"
Calgary Wild FC women's pro soccer team announces its leaders,https://www.cbc.ca/sports/soccer/calgary-wild-fc-management-hires-northern-super-league-1.7360671,Calgary Wild FC has named Lara Murphy the women's pro soccer team's first chief executive officer and Lisa Oldridge its chief financial and operating officer.,"Calgary Wild FC has named Lara Murphy the women's pro soccer team's first chief executive officer and Lisa Oldridge its chief financial and operating officer.
Wild FC is one of six teams in the new … [+545 chars]"
Husband and wife get house arrest for defrauding search and rescue group,https://www.cbc.ca/news/canada/newfoundland-labrador/nl-brian-bishop-marina-bishop-fraud-sentence-casara-1.7360511,"Brian Bishop, 74, and Marina Bishop, 71, were given a 12-month conditional sentence plus a year of probation for bilking $82,000 from the Civil Air Search and Rescue Association.","A couple who defrauded a volunteer search and rescue organization of more than $82,000 have been sentenced to a year of house arrest, plus another year of probation.
Brian Bishop, 74, and Marina Bis… [+1997 chars]"
Bank of Canada cuts key interest rate by half point for first time since COVID-19 pandemic,https://www.cbc.ca/news/business/bank-of-canada-october-interest-rate-1.7360509,"The Bank of Canada has lowered its key interest rate to 3.75 per cent with a 50 basis-point cut, twice the size of the previous cut.","The Bank of Canada has lowered its key interest rate to 3.75 per cent, making a 50 basis-point cut for the first time since the COVID-19 pandemic.
Before Wednesday, the rate stood at 4.25 per cent. … [+1946 chars]"
National security cited as B.C. court orders seizure of engineer's anti-drone devices,https://www.cbc.ca/news/canada/british-columbia/skycope-drone-national-security-employment-1.7359965,"A B.C. Supreme Court judge has granted an extraordinary order to seize electronic devices from a former employee of Burnaby, B.C.,-based company specializing in anti-drone technology - citing national security interests and fears China or Russia might be tryi…",A B.C. Supreme Court judge has granted an extraordinary order to seize electronic devices from a former employee of a Lower Mainland company specializing in anti-drone technology  citing fears China … [+5915 chars]
The Independent candidate who may have spoiled a B.C. Conservative win in Vernon-Lumby has no regrets,https://www.cbc.ca/news/canada/british-columbia/kevin-acton-independent-candidate-vernon-lumby-1.7360052,"As final tabulations take place this week in the B.C. provincial election, a split in votes among right-leaning candidates may have paved the way for the B.C. NDP's potential victory in the closely contested riding of Vernon-Lumby.","As final tabulations take place this week in the B.C. provincial election, a split in votes among right-leaning candidates may have paved the way for the B.C. NDP's potential victory in the closely c… [+3901 chars]"
"'This time, it's different,' Winnipeg mayor says as he makes plea for new funding model from province",https://www.cbc.ca/news/canada/manitoba/winnipeg-mayor-funding-model-provincial-government-1.7360197,"Scott Gillingham acknowledges he's far from the first mayor of Winnipeg to try to squeeze more money out of the provincial government, but he insists the need is only becoming greater.","Scott Gillingham acknowledges he's far from the first mayor of Winnipeg to try to squeeze more money out of the provincial government, but he insists the need is only becoming greater.
""I know you'v… [+4332 chars]"
"Manitoba extends pause on new licences to sell cannabis at urban convenience stores, gas stations",https://www.cbc.ca/news/canada/manitoba/cannabis-urban-gas-stations-licences-paused-1.7360229,"The Manitoba government is extending its pause on approving a certain type of retail licence that would allow a range of businesses in urban areas to start selling cannabis, including gas stations.","The Manitoba government is extending its pause on approving a certain type of retail licence that would allow a range of businesses in urban areas to start selling cannabis, including gas stations.
… [+2302 chars]"
