source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
bbc-news,BBC News,,"The Week: The Budget, a trip to China, and the US election","Adam, Chris and Paddy round up the political week.",https://www.bbc.co.uk/programmes/p0jyn9gq,https://ichef.bbci.co.uk/images/ic/1200x675/p0jyn9lb.jpg,2024-10-17T19:00:00Z,"Adam, Chris, Paddy and Stephanie Flanders from Bloomberg discuss potential changes to inheritance tax which could be coming at the budget, why the Foreign Secretary is heading to China and look at th… [+605 chars]"
bbc-news,BBC News,,Gareth Gates and Ed Balls on stammering,Pop Idol star Gareth Gates and ex-politician Ed Balls on navigating life with a stammer,https://www.bbc.co.uk/programmes/p0jz78np,https://ichef.bbci.co.uk/images/ic/1200x675/p0jz78pj.jpg,2024-10-21T17:09:00Z,"22nd October 2024
bbc.co.uk/accessall
Access All episode 129
Presented by Emma Tracey
EMMA-               Hello, and welcome to Access All,
the BBCs disability and mental health podcast. Im Emma… [+23192 chars]"
bbc-news,BBC News,,'Bags of sweets amid rubble of flattened Beirut building','Bags of sweets amid rubble of flattened Beirut building',https://www.bbc.co.uk/programmes/p0jvz8p7,https://ichef.bbci.co.uk/images/ic/1200x675/p0jvzf3l.jpg,2024-10-06T12:16:42Z,"Israeli strikes on southern Lebanon and the capital Beirut continued overnight, while Israel has also issued fresh evacuation orders. 
The BBC's Hugo Bachega visited the scene of one strike in south… [+291 chars]"
bbc-news,BBC News,BBC World Service,The Fifth Floor: Who is Mexico's first female president?,"On October 1st, Claudia Sheinbaum will take office and become Mexico's first female president. What will her presidency look like? With Laura García from BBC Mundo and Luis Fajardo from BBC Monitoring. Produced by Caroline Ferguson and Alice Gioia.(Photo: Far…",https://www.bbc.co.uk/programmes/p0jt5lxn,https://ichef.bbci.co.uk/images/ic/1200x675/p0hqg7fh.jpg,2024-09-28T12:30:00Z,"On October 1st, Claudia Sheinbaum will take office and become Mexico's first female president. What will her presidency look like? With Laura García from BBC Mundo and Luis Fajardo from BBC Monitorin… [+113 chars]"
bbc-news,BBC News,BBC World Service,The Fifth Floor: The wolf salute,"The Grey Wolves, a Turkish far-right political movement, is getting increasing attention worldwide. So is their hand gesture, depicting a wolf’s head. But what makes them so controversial? Selin Girit from BBC Turkish explains.Produced by Alice Gioia and Caro…",https://www.bbc.co.uk/programmes/p0jwp6tt,https://ichef.bbci.co.uk/images/ic/1200x675/p0hqg7fh.jpg,2024-10-12T12:30:00Z,"The Grey Wolves, a Turkish far-right political movement, is getting increasing attention worldwide. So is their hand gesture, depicting a wolfs head. But what makes them so controversial? Selin Girit… [+138 chars]"
bbc-news,BBC News,BBC World Service,The Fifth Floor: Mollywood's MeToo,"Rampant abuse and 'mafia' style intimidations: these are the conditions thousands of women working in one of India's film industries allegedly faced for years. Following a damning report into Kerala’s Malayalam-language movie scene, BBC India reporter Sumedha…",https://www.bbc.co.uk/programmes/p0jvmywy,https://ichef.bbci.co.uk/images/ic/1200x675/p0hqg7fh.jpg,2024-10-05T12:30:00Z,Rampant abuse and 'mafia' style intimidations: these are the conditions thousands of women working in one of India's film industries allegedly faced for years. Following a damning report into Keralas… [+366 chars]
bbc-news,BBC News,BBC World Service,Saving a sinking city: Jakarta,"Jakarta is facing all sorts of problems - deadly floods, land subsidence, extreme pollution, notorious traffic and overcrowding. Indonesia’s outgoing president has come up with an extreme solution: moving the country’s capital a thousand kilometres away, to t…",https://www.bbc.co.uk/programmes/p0jtwx42,https://ichef.bbci.co.uk/images/ic/1200x675/p0jsqhpj.jpg,2024-10-01T12:21:00Z,"Jakarta is facing all sorts of problems - deadly floods, land subsidence, extreme pollution, notorious traffic and overcrowding. Indonesias outgoing president has come up with an extreme solution: mo… [+386 chars]"
bbc-news,BBC News,BBC World Service,The Fifth Floor: Who runs Russia's African Initiative?,"What do a graffiti festival, a first aid training and a football match have in common? These are all events set up by African Initiative, a Russian media organisation which defines itself as 'an information bridge between Russia and Africa'. Olaronke Alo and …",https://www.bbc.co.uk/programmes/p0jynsqt,https://ichef.bbci.co.uk/images/ic/1200x675/p0hqg7fh.jpg,2024-10-19T12:30:00Z,"What do a graffiti festival, a first aid training and a football match have in common? These are all events set up by African Initiative, a Russian media organisation which defines itself as 'an info… [+323 chars]"
bbc-news,BBC News,BBC World Service,Heart and Soul: Reclaiming yoga,"With a global market worth more than $100 billion dollars a year, yoga is a massive industry. With its origins in India, Yoga is often considered to be part of the Hindu tradition, as well as being influenced by other religions including Buddhism and Islam. Y…",https://www.bbc.co.uk/programmes/p0jwyd5c,https://ichef.bbci.co.uk/images/ic/1200x675/p0jwyd6s.jpg,2024-10-11T00:30:00Z,"With a global market worth more than $100 billion dollars a year, yoga is a massive industry. With its origins in India, Yoga is often considered to be part of the Hindu tradition, as well as being i… [+440 chars]"
bbc-news,BBC News,,Israel intensifies attacks against Lebanon,"Is Israel preparing for a full-scale ground incursion of Lebanon? Israel has been actively striking against southern Lebanon – but also aiming north of the capital city Beirut. We get an on-the-ground update from those living amongst the airstrikes.

Also in …",https://www.bbc.co.uk/programmes/w172zb92nd0dl0w,https://ichef.bbci.co.uk/images/ic/1200x675/p0jsszxn.png,2024-09-25T21:18:00Z,Is Israel preparing for a full-scale ground incursion of Lebanon? Israel has been actively striking against southern Lebanon but also aiming north of the capital city Beirut. We get an on-the-ground … [+437 chars]
